Algorithm,Accuracy Score,Precision Score,Recall Score,F1 Score,ROC-AUC Score,Confusion Matrix
LogisticRegression,0.8575102880658436,0.8390578999018645,0.8832644628099173,0.8605938600905888,0.9350877675789189,"[[812 164]
 [113 855]]"
SVC,0.7736625514403292,0.7444444444444445,0.8305785123966942,0.78515625,0.8631632316081833,"[[700 276]
 [164 804]]"
DecisionTreeClassifier,0.7577160493827161,0.6812545587162655,0.9648760330578512,0.7986318939717829,0.8287669565438288,"[[539 437]
 [ 34 934]]"
KNeighborsClassifier,0.9192386831275721,0.8744228993536473,0.9783057851239669,0.923451974646514,0.9194807614144425,"[[840 136]
 [ 21 947]]"
RandomForestClassifier,0.9521604938271605,0.941473259334006,0.9638429752066116,0.9525267993874426,0.9923372722192115,"[[918  58]
 [ 35 933]]"
BernoulliNB,0.7412551440329218,0.7286135693215339,0.765495867768595,0.7465994962216624,0.8336528121189541,"[[700 276]
 [227 741]]"
VotingClassifier,0.9295267489711934,0.9053658536585366,0.9586776859504132,0.9312594079277471,0.9846650182902046,"[[879  97]
 [ 40 928]]"
AdaBoostClassifier,0.9135802469135802,0.9008016032064128,0.9287190082644629,0.9145473041709054,0.9136422910174774,"[[877  99]
 [ 69 899]]"
GradientBoostingClassifier,0.8940329218106996,0.8649425287356322,0.9328512396694215,0.8976143141153081,0.9608358877523371,"[[835 141]
 [ 65 903]]"
XGBClassifier,0.9614197530864198,0.9617373319544984,0.9607438016528925,0.9612403100775194,0.9936502929819808,"[[939  37]
 [ 38 930]]"
