Algorithm,Accuracy Score,Precision Score,Recall Score,F1 Score,ROC-AUC Score
LogisticRegression,0.8558384773662552,0.846461615403851,0.8697327852004111,0.8579394246610064,0.855824168089392
SVC,0.7665895061728395,0.7376974135957886,0.8281089414182939,0.7802929427430094,0.7665261493909183
DecisionTreeClassifier,0.7622170781893004,0.6887821105156163,0.9576053442959918,0.801246909599054,0.7620158544342985
KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0
BernoulliNB,0.7397119341563786,0.7314172447968286,0.7584789311408017,0.744702320887992,0.7396926066620588
VotingClassifier,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier,0.900977366255144,0.8837266470009832,0.9236896197327852,0.9032663316582915,0.9009539756748374
XGBClassifier,0.9998713991769548,1.0,0.999743062692703,0.9998715148400359,0.9998715313463515
